,window
0,1.0775520823079605
1,1.4092729129163832
2,2.095195427546812
3,2.8971076950046717
4,3.559858305990061
5,4.241526828554073
6,4.965363537211919
7,5.657216043590965
8,6.374501541110657
9,7.075123216702667
10,7.774763129638094
11,8.4697074851085
12,9.168976565522264
13,9.868617780023563
14,10.573239845629582
15,11.27412345681017
16,11.974521160160066
17,12.677091013647885
18,13.378138657355171
19,14.07601383034959
20,14.775622798967737
21,15.47879756165025
22,16.180034332045015
23,16.87933321141038
24,17.579857057517028
25,18.280081015244313
26,18.981563390102586
27,19.68309836996565
28,20.382725346927987
29,21.080728497979564
30,21.78068776804862
31,22.480903194124767
32,23.180497357778307
33,23.881196048721783
34,24.58162452190242
35,25.281235046928455
36,25.98132876617147
37,26.68204140656652
38,27.383013189692708
39,28.08455669541645
40,28.785135498794347
41,29.485555483129172
42,30.18619256795632
43,30.88558917115958
44,31.586083943276158
45,32.28679788464315
46,32.987680952218035
47,33.68817941020208
48,34.389803929093446
49,35.08938966611586
50,35.78930758720106
51,36.48914785117902
52,37.18869246495041
53,37.88889979384514
54,38.588985069792194
55,39.288827287104205
56,39.98796343834524
57,40.68742600335772
58,41.38780519911835
59,42.087826282400925
60,42.78776688183513
61,43.48787153593377
62,44.18826472874426
63,44.88816020801572
64,45.58713829175583
65,46.28773401690138
66,46.988037515488664
67,47.68799194080539
68,48.3882298336066
69,49.08852392116356
70,49.78870499039656
71,50.488631445411265
72,51.18877168988764
73,51.889115391410904
74,52.58958836010786
75,53.289728951743925
76,53.98965336679548
77,54.68956833752433
78,55.38970813558037
79,56.08961695555936
80,56.78946279669949
81,57.48937632105218
82,58.18933655576791
83,58.889157829474456
84,59.589246880199084
85,60.28919659726572
86,60.98909054407218
87,61.68908900984064
88,62.388856869519486
89,63.08891687436301
90,63.789078419514205
91,64.48918768978771
92,65.1896717094162
93,65.88991547315675
94,66.58979141707714
95,67.2896830077429
96,67.98983052038608
97,68.69009042557346
98,69.3902356875124
99,70.09008242366548
100,70.78984807018892
101,71.48962728961945
102,72.18934999957014
103,72.88945536829745
104,73.58944990235076
105,74.28917870323187
106,74.98927433020225
107,75.68915882384664
108,76.38921626115268
109,77.08895274741688
110,77.78891491818474
111,78.48914819347644
112,79.18923324092015
113,79.88928672718717
114,80.58925432665825
115,81.28931441659788
116,81.98956840496649
117,82.68959776168023
118,83.38966077017919
119,84.08972358254185
120,84.78971917309052
121,85.48969711023673
122,86.18960909896059
123,86.88947929716406
124,87.58958964187278
125,88.28969818215653
126,88.98984553078508
127,89.69002385023268
128,90.39001327768705
129,91.0897740112616
130,91.78996965329257
131,92.48984105898231
132,93.19000370025688
133,93.8901361387262
134,94.59025440845994
135,95.29012556583082
136,95.99011055682705
137,96.69012857252704
138,97.3902051321454
139,98.09056603466368
140,98.79036346566241
141,99.49040646335779
142,100.19046903445494
143,100.89042688279957
144,101.59034953746102
145,102.29040133736498
146,102.99041465807245
147,103.6906333292545
148,104.39059594019713
149,105.09067218640193
150,105.79079449738067
151,106.49090437862795
152,107.19083553815915
153,107.89094031595498
154,108.59089188623925
155,109.29078516785023
156,109.99096652967705
157,110.69099968350125
158,111.3909003683968
159,112.09105567579775
160,112.79106568732588
161,113.49101339492998
162,114.19096146363317
163,114.89100430227795
164,115.59101111845766
165,116.29105909279198
166,116.9909911854437
167,117.69093575940231
168,118.39105154619392
169,119.09103970217909
170,119.79102467577422
171,120.49091884174376
172,121.1909797514958
173,121.89087889168052
174,122.59085838436326
175,123.29083825799407
176,123.99082888851058
177,124.69084539983717
178,125.39073435396001
179,126.09084689711058
180,126.79087504570359
181,127.49087081123423
182,128.1910098078542
183,128.89113374608735
184,129.5912207681105
185,130.29118450963705
186,130.99130784909318
187,131.69114607630982
188,132.39121370808346
189,133.09136909695567
190,133.79132236549995
191,134.49136561048368
192,135.19146249743076
193,135.89140637523545
194,136.59123427359805
195,137.29125712144875
196,137.99132367621024
197,138.6912896135425
198,139.39130954502656
199,140.091360275841
200,140.79139886559503
201,141.4914355257917
202,142.19141748643216
203,142.8914832140478
204,143.5914922414316
205,144.291464652301
206,144.99133851851045
207,145.69132128351131
208,146.3913047281521
209,147.09135411336356
210,147.79131139801015
